"Symbol","Name","Price..Intraday.","Change","X..Change","Volume","Avg.Vol..3.month.","Market.Cap","PE.Ratio..TTM.","X52.Week.Range"
"HANA.BK","Hana Microelectronics Public Company Limited",56.75,-0.5,"-0.87%","11.981M","14.105M",4.5677e+13,"46.90",NA
"TCAP.BK","Thanachart Capital Public Company Limited",43.25,0.5,"+1.17%","2.09M","2.755M",4.5352e+13,"7.65",NA
"GUNKUL.BK","Gunkul Engineering Public Company Limited",5.1,0.05,"+0.99%","16.688M","42.121M",4.5301e+13,"13.78",NA
"MEGA.BK","Mega Lifesciences Public Company Limited",49.5,-0.25,"-0.50%","1.548M","2.799M",4.3158e+13,"18.47",NA
"CHG.BK","Chularat Hospital Public Company Limited",3.84,0.06,"+1.59%","13.901M","42.744M",4.224e+13,"9.85",NA
"DOHOME.BK","Dohome Public Company Limited",14.4,0,"0.00%","8.252M","12.928M",4.1857e+13,"49.66",NA
"SPI.BK","Saha Pathana Inter-Holding Public Company Limited",72,2,"+2.86%","40,200","5,413",4.1176e+13,"14.01",NA
"CK.BK","CH. Karnchang Public Company Limited",23.9,0.3,"+1.27%","6.837M","5.257M",3.9624e+13,"35.67",NA
"WHART.BK","WHA Premium Growth Freehold And Leasehold Real Estate Investment Trust",12,0.5,"+4.35%","10.166M","1.71M",3.9275e+13,"21.05",NA
"PLANB.BK","Plan B Media Public Company Limited",8.9,0.1,"+1.14%","42.969M","24.816M",3.8086e+13,"59.33",NA
"TTW.BK","TTW Public Company Limited",9.5,0,"0.00%","2.21M","4.475M",3.7905e+13,"12.50",NA
"STARK.BK","Stark Corporation Public Company Limited",2.82,0.04,"+1.44%","139.451M","74.456M",3.7806e+13,"10.85",NA
"CKP.BK","CK Power Public Company Limited",4.56,0.04,"+0.88%","6.433M","11.176M",3.707e+13,"14.71",NA
"VIBHA.BK","Vibhavadi Medical Center Public Company Limited",2.72,0,"0.00%","1.26M","5.001M",3.6927e+13,"20.92",NA
"AAV.BK","Asia Aviation Public Company Limited",3.02,0.04,"+1.34%","32.647M","39.775M",3.6736e+13,"N/A",NA
"FTREIT.BK","Ticon Freehold and Leasehold Real Estate Investment Trust",11.9,0.7,"+6.25%","5.24M","796,739",3.6454e+13,"15.06",NA
"AP.BK","AP (Thailand) Public Company Limited",11.4,0.2,"+1.79%","10.95M","17.798M",3.5863e+13,"6.30",NA
"FPT.BK","Frasers Property (Thailand) Public Company Limited",15.2,0,"0.00%","12,800","84,885",3.5253e+13,"14.34",NA
"TPIPL.BK","TPI Polene Public Company Limited",1.86,0.02,"+1.09%","1.848M","20.878M",3.5219e+13,"4.65",NA
"JTS.BK","Jasmine Technology Solution Public Company Limited",49.75,-2,"-3.86%","1.268M","2.267M",3.5146e+13,"165.83",NA
"SCAP.BK","Srisawad Capital 1969 Public Company Limited",27,0,"0.00%","172,614","359,722",3.5134e+13,"20.15",NA
"LPF.BK","Lotus's Retail Growth Freehold and Leasehold Property Fund",14.4,1,"+7.46%","5.222M","1.212M",3.3657e+13,"20.28",NA
"FORTH.BK","Forth Corporation Public Company Limited",35.25,-0.25,"-0.70%","1.332M","3.092M",3.2972e+13,"40.99",NA
"ESSO.BK","Esso (Thailand) Public Company Limited",9.5,0.25,"+2.70%","72.61M","39.628M",3.2878e+13,"2.79",NA
"STA.BK","Sri Trang Agro-Industry Public Company Limited",21.4,0.4,"+1.90%","1.864M","4.119M",3.287e+13,"2.48",NA
"KEX.BK","Kerry Express (Thailand) Public Company Limited",18.3,0.1,"+0.55%","560,542","2.842M",3.1889e+13,"N/A",NA
"PB.BK","President Bakery Public Company Limited",69.5,0,"0.00%","30","4,439",3.1275e+13,"18.83",NA
"BKI.BK","Bangkok Insurance Public Company Limited",293,-1,"-0.34%","34,158","36,619",3.1196e+13,"N/A",NA
"TFG.BK","Thaifoods Group Public Company Limited",5.4,-0.05,"-0.92%","6.014M","11.101M",3.0532e+13,"8.06",NA
"STGT.BK","Sri Trang Gloves (Thailand) Public Company Limited",10.5,0.1,"+0.96%","4.813M","10.634M",3.0084e+13,"8.40",NA
"CIMBT.BK","CIMB Thai Bank Public Company Limited",0.86,0.01,"+1.18%","3.949M","2.927M",2.9947e+13,"8.60",NA
"BCPG.BK","BCPG Public Company Limited",10.2,0,"0.00%","4.763M","6.492M",2.9658e+13,"11.59",NA
"PSH.BK","Pruksa Holding Public Company Limited",13.5,0.1,"+0.75%","294,119","1.217M",2.9551e+13,"11.44",NA
"NEX.BK","Nex Point Public Company Limited",17.6,-0.1,"-0.56%","3.362M","6.127M",2.947e+13,"N/A",NA
"ORI.BK","Origin Property Public Company Limited",11.9,0.1,"+0.85%","5.404M","6.897M",2.9204e+13,"8.50",NA
"BA.BK","Bangkok Airways Public Company Limited",13.8,0.6,"+4.55%","5.091M","3.533M",2.898e+13,"N/A",NA
"TIPH.BK","Dhipaya Group Holdings Public Company Limited",48.75,-0.25,"-0.51%","5.806M","3.986M",2.8972e+13,"29.73",NA
"TPIPP.BK","TPI Polene Power Public Company Limited",3.44,0.02,"+0.58%","1.214M","3.882M",2.8896e+13,"8.82",NA
"E1VFVN3001.BK","VFMVN30 ETF Fund",26.75,0,"0.00%","2.64M","2.611M",2.889e+13,"16.11",NA
"RBF.BK","R&B Food Supply Public Company Limited",14.3,0.1,"+0.70%","5.151M","5.079M",2.86e+13,"57.20",NA
"SKR.BK","Sikarin Public Company Limited",13.6,-0.1,"-0.73%","260,402","272,952",2.7986e+13,"16.39",NA
"MBK.BK","MBK Public Company Limited",17.8,-0.3,"-1.66%","1.781M","3.628M",2.7119e+13,"N/A",NA
